name,description
Древний раб,"Главный герой книги работал в небольшой фирме программистом. Всё шло хорошо, пока шеф не решил его подставить. А всё из-за зарплаты, которую он не захотел выплатить. В результате парень оказался на улице. Пытаясь устроиться на работу, он согласился принять участие в собеседовании с представителями некой фирмы. В результате потерял сознание и оказался в весьма странном месте."
Я был на этой войне,"Капитан Миронов в 1995 году был отправлен в Чеченскую республику для дальнейшего прохождения службы. Здесь он оказался в самом центре ада. Грозный лежит в руинах, в нём хозяйничают боевики, а федеральные войска пытаются хоть как-то противостоять им. Автору повезло, и он выжил в этом аду. Теперь он решил рассказать всем правду об этой войне."
Праздник покойной души,"В поисках убийцы героини влезают в разные истории – участвуют в похоронах не того мужа, посещают мужской стриптиз-бар, общаются с якобы загробными голосами, но самое главное – им удается докопаться до истины…"
Убить топа 2,"Антон покинул задворки локаций и основательно разворошил клановые ульи. Он желает вернуть честное имя, но ему все труднее хранить секрет, ведь непонятно, где друзья, а где враги, и нужно делать выбор. Кланы ведут свою войну, разменивая игроков, как пешки, и предстоящий поход в Неизведанные Земли может обернуться чем угодно…"
Истории Предгорья,"Часть 2. Десять тысяч ступеней. О юности Оса и компании. Есть и романтика, и философия. О взрослении, выборе, отрицании и любви."
Господин изобретатель. Часть III,"Андрей Андреевич Степанов – подполковник военно-воздушных сил в отставке и кандидат наук. Он находится на пенсии и живёт один. Однажды он вышел по делам на улицу, и его сбила машина. Для 2020 года он умер, а вот в конце девятнадцатого века наоборот – возродился. Разум мужчины попал в тело Александра Степанова. Молодому человеку двадцать два года, и он – начинающий юрист. Кроме того, Александр – внук купца миллионщика, правда, с ним у него весьма натянутые отношения."
"Опа-па, или осторожнее с желаниями","Лина – молодая и интересная женщина. У нее все хорошо: престижная работа, дорогой телефон, красавчик-жених. И вдруг всё рушится: она ругается с начальником, который увольняет ее с работы, телефон разбивается, жених уходит к другой. И все это происходит в один день! Чтобы как-то успокоить себя, Лина отправилась на прогулку и по дороге нашла какой-то бар. Раньше его здесь не было."
Закат вечности,"Белла – примерная ученица, красавица. Она не замечена ни в каких темных делах. Тем более странно, что она влюбляется в своего одноклассника. Его поведение загадочно. Он не такой как все. Подружившись с ним, Белла узнает, что ее избранник – вампир и пьет кровь, правда, не человеческую, а звериную. При этом он состоит в клане, который борется с вампирами, охотящимися на людей."
Быть или казаться,"В нашем мире её звали Виктория Абилхакимова. Она была интерном в больнице. Однажды в её смену в клинике оказались странные люди. Вполне возможно, что они были террористами. Вика этого не могла узнать, потому что её убили. Судьба так распорядилась, что разум девушки переместился в тело мужчины. Он русский, зовут его Виктор Щукин, ему двадцать три года, и он – абсолютный неудачник в этом мире."
Черная тропа,"Но именно он вдруг становится причиной, из-за которой внезапно резко обостряется многолетняя упорная борьба советской и германской разведок. С обеих сторон задействованы самые серьёзные силы, к операциям привлечены самые опытные специалисты и мастера своего дела."
Дремлющий демон Декстера,"Повествование в этой книге ведётся от имени Декстера Моргана, работающего в полиции Майами судмедэкспертом. Декстер – социопат-убийца. Убивать людей его заставляет некий внутренний голос, которого он зовёт «Тёмным попутчиком». Ещё в детстве его приёмный отец Гарри Морган, служивший в полиции, заметил в нём некоторые отклонения и смог научить Декстера контролировать свою тягу к убийствам. Чтобы не привлекать к себе внимание, он научил парня избавляться от улик, прятать тела и вести себя в обществе согласно принятым правилам. Благодаря им Декстер научился не только копировать все человеческие чувства, но и имитировать все эмоции обычных людей и их социально-приемлемое поведение."
"Почему вы глупы, больны и бедны... И как стать умным, здоровым и богатым!","Автор прямо и резко излагает свои мысли. Его жесткая честность позволяет разоблачить те тайные «вирусы разума», которые могут быть заложены в человеческий мозг. Среди них, например, зависимость от других людей. Рэнди Гейдж перечисляет те факторы, которые могут влиять на наши жизненные установки, формировать общественное мнение и манипулировать людьми. Кроме того, они способны программировать поведение человека в той или иной ситуации. "
От себя не убежишь,"Она — среднестатистическая девушка, таких Вы встречаете каждый день на улице, в магазине, в метро. Таких как он, Вы тоже видите, но в журналах, по телевизору, в интернете."
Полюбить двуликого,"Только как ему верить, когда поймешь, что этот мужчина – двуликий оборотень? "
Всеволод. Граф по «призыву»,"Всеволод Соколов был нашим современником. Последнее время его преследовали неудачи. На работе пришлось написать заявление, невеста стала девушкой другого, автомобиль угнали, любимую собаку сбила машина… Даже занятия спортом в этот раз не принесли радости. В этот день парень остался очень недоволен своей тренировкой. Домой Соколов возвращался в плохом настроении. Он и сам не заметил, как оказался в параллельном мире. Не сразу Всеволод понял, что его похитили."
Перевертыш. Часть 1,"Владислав Северцев когда-то был нашим современником, обычным среднестатистическим жителем Земли. В один прекрасный день, когда он шёл на собеседование с будущим работодателем, его сбила машина. Таким образом его духовная сущность попала в тело донора – парня четырнадцати лет, очень похожего внешне на землянина. Тело донора несколько тысяч лет хранилось в законсервированном виде на космической станции Древних. Теперь Владислав должен был прожить на станции до возраста восемнадцати лет, чтобы развиться и подготовиться к установке нейросети."
Дневники вампира. Голод,"Елена – отличница, красавица, гордость школы. Ее избирали королевой на выпускном балу, и всем вокруг кажется, что ее жизнь счастлива и безмятежна. Но у нее есть своя тайна. Связана он не с миром людей, а с миром тех, кто пьёт по ночам человеческую кровь. Однажды проникнув в их тайны, девушка все глубже погружается в них. "
Из двух зол выбирают меньшее,"Ирина недавно развелась и поэтому была готова сбежать куда угодно, лишь бы забыть о своём прошлом замужестве. Такая возможность ей представилась, и теперь она находится в другом городе. У неё новая работа – охрана магического портала. Новый босс весьма красив, но это не обычный человек. Он относится к расе демонов. При этом к Ирине выказывает симпатию ещё один красавчик-демон, а тут ещё и бывший муж объявился. И надо же, он совсем не тот, за кого себя выдавал!"
Завлаб клана Росс,"Главный герой книги жил на Земле в наше время. Работал он обычным сотрудником Минсоцразвития. Мало того, что его должность была совсем незначительной, так её вдобавок решили сократить. Пришлось мужчине отправиться в незапланированный отпуск. Провести его он решил у старого друга Сергея, который жил в селе Икряное на берегу Каспия. Когда-то в этих местах произошла очень интересная история, связанная с НЛО, поэтому выбор главного героя пал на это село. Здесь он собирался переждать начальственное административное рвение, чтобы вернуться уже на новую работу."
Чистилище,"Ефим Николаевич Сорокин отслужил в армейском спецназе. Участвовал во Второй чеченской войне. Занимался предпринимательством. С армейских времён Ефим сохранил любовь к прыжкам с парашютом. Вот и в этот раз он не предал любимого увлечения. Однако во время очередного прыжка что-то пошло не так, и Сорокин оказался из 2017 года в 1937."
Повелитель металла,"В чужой мир Костя попал совсем случайно, открыв межпространственный портал. Во время прохождения через него он получил особые способности к магии. Кроме того, парень весьма удачно попал в ученики к местному безумному магу, который мечтает завоевать весь мир. В результате Константин сам стал магом, и теперь его зовут Кост Марг. Он уважаемый в этом мире маг и рыцарь. Теперь его жизнь посвящена непрерывным сражениям."
Не говори никому,"Он намерен раскрыть тайну случившегося, какой бы страшной она ни была. Но кто-то снова и снова пытается остановить его..."
Кусака,"Это история о беспризорной собаке. У нее никогда не было хозяев, и она не знает, что такое человеческая ласка и забота. Напротив, ей постоянно встречались жестокие люди, готовые только смеяться и издеваться над ней, а дворовые псы громко лаяли на нее. Тогда она убегала и пряталась в одном ей известном месте, где зализывала раны телесные и душевные."
Митральезы Белого генерала,Примечания автора:
Любовь демона,"Лайла ард Ригилон – дочь одного из правящих родов в этом магическом мире. Из-за происков врага её рода она долгое время была потеряна для него. Сейчас же Лайла, несмотря на то, что она полукровка, обрела свою семью. Теперь она полноправный ледяной демон. При этом девушке пришлось изгнать из своего сердца покорившего его мужчину. Это Ирэш ша-Тех, император, имеющий сущность демона-дракона. Он желал только видеть её в своей постели, а это совсем не то, что нужно было Лайле."
Везунчик. Проводник,"Никита, или Ник Северов – молодой парень. Он только недавно устроился на работу, познакомился с очень симпатичной коллегой и строит планы на жизнь. Но эти планы были разрушены из-за того, что Ник, идя домой, свернул не туда. В результате – встреча с гопниками, бегство от них и попадание в новый, параллельный мир. Здесь не любят пришельцев, и поэтому Нику пришлось некоторое время посидеть в тюрьме. Освоившись в ней, парень узнает, что он попал в мир, где действует магия. Но Ник не привык быть рабом, и поэтому он решает бежать."
Петля,"Действие романа происходит в СССР, в семидесятые годы прошлого столетия. Инспектор Лосев находится на особом счету у руководства, так как умеет раскрывать даже самые сложные преступления. На этот раз ему досталось очень запутанное дело. На стройке, в котловане, был обнаружен труп молодой красивой женщины. При этом пропали принадлежавшие ей деньги, а её квартира была ограблена. Нет ни одной улики, указывающей на преступника."
Избранные циклы романов фантастики. Компиляция. Книги 1-15,"В романах, включённых в него, рассказывается о приключениях в других исторических эпохах наших современников, по воле случая переместившихся туда. При этом, в отличие от своих коллег, автор уделяет большое внимание истории не империй или целых государств, а конкретного места. Так, например, отталкиваясь от интересов локальной истории, Вадим Денисов написал трёхтомную серию «Таймыр»."
Фермер особого назначения,"Сергей помнит начало катастрофы и сейчас. Он жил тогда с родителями на ферме. В один прекрасный день его отец обнаружил в хлеве полуобглоданный труп коровы, а также тела соседей Савельевых с выколотыми глазами. Далее произошли страшные события. Родители Сергея превратились в настоящих монстров вместе с ожившими соседями. Теперь они зомби, питающиеся кровью и плотью живых людей."
Девушка с Косой,"В книге есть оборотень-оружие, наша героиня связана с ним самыми крепкими узами, какие бывают."
Каторжанин,"Война между Российской империей и Японией началась внезапно, хотя обе стороны долго готовились к ней. Армия Страны Восходящего Солнца вторглась на Сахалин и начала его аннексию. Серьёзных воинских формирований на острове нет, и поэтому местное начальство решает сформировать из каторжан ополчение. Александр Любич когда-то служил в Отдельном корпусе пограничной стражи. На каторгу он попал по случайности. Узнав о формировании ополчения он сразу же решил вступить в него."
Потерянный бог,"Парень и сам не хотел такого счастья. Он просто играл в одну игру и постепенно перестал отличать её от реальности. Он забыл о своём прошлом и начал понимать, что дальше всё будет на так весело и просто, как ему казалось в самом начале этой игры. Вроде бы, всё получается, но уж слишком как-то легко. Он – Безымянный. Когда-то он был Богом этой игры, но его свергли и унизили."
Инвестиции для начинающих,"Основная её задача: дать возможность начинающим бизнесменам получить базовые знания в инвестиционной сфере. Без них невозможно добиться успеха в инвестировании, при этом, если в краткосрочной перспективе ещё что-то можно сделать, то в долгосрочной это невозможно даже себе представить. Читатели этой книги во время её чтения могут значительно повысить уровень своей финансовой грамотности, ведь написана она, в отличие от других книг по инвестированию, достаточно простым языком."
Колодцы предков,"Вот и на этот раз Иоанна переживает приключения, но уже в большой компании своих ближайших родственников: отца, матери и теток, путешествуя с ними по Польше в поисках фамильных сокровищ."
"1000 заговоров, оберегов, обрядов на все случаи жизни","Автор много лет занимается прорицательством и целительством, практикует как космоэнергет. За эти годы она собрала большую коллекцию заговоров и магических обрядов. Все они проверены опытом и лично самой Наиной Владимировой. Многие из них она лично доработала и усовершенствовала. Эта многолетняя работа сделала их максимально эффективными и уникальными."
Палата №6,"Яркие образы, психологическое соответствие поведения героев, описанных отношений между врачом и пациентами. Художественная красота, изящная речь, в то же время простая и живая, реализм, никакого преувеличения, глубина мысли и единство произведения. И хотя понимаешь, что сейчас всё немного изменилось, эта история могла бы выглядеть смешной, если бы не была такой грустной."
Путешествие из Петербурга в Москву,"Книга написана как заметки путешественника. Радищев перемещался от города к городу, общался с разными людьми, слушал их истории, очевидцем некоторых событий становился сам. В своих очерках он говорил о том, что видел, о том, от чего у него болела душа. Хорошо видно, как жили люди не только в столице, но и в провинции, как мало значило мнение простого народа. Радищев неоднократно показывает, как издеваются и ущемляют в правах крепостных крестьян, приходя к выводу, что такое отношение не может быть благом для народа и для всей страны. Он уже тогда понимал, что нужно отменить крепостное право, хотя это случилось десятки лет спустя."
Алхимик 9. Отец,"Эдгард заложил город и узнал, что любимая жена беременна."
Изыскатель-мусорщик,"Иван простой деревенский парень, явно не обремененный интеллектом. Однажды Иван совершенно случайно попадает в космос. Дело в том, что его решил похитить искусственный интеллект станции слежения одной сильной звездной империи. Похищенного отправляют в Учебный Центр ВКС Империи «Выжгар», здесь он будет учиться использовать те возможности, которые ему предоставили имплантированные в головной мозг нейросети. В результате он должен получить одну очень востребованную во Вселенной профессию. "
Телохранитель для дракона,"Лидия Франчук была дочерью успешных родителей. Отец – известный бизнесмен. Мать – домохозяйка, хорошая женщина, которая ценит семейный уют. Недавно девушка поступила на юридический факультет Высшей академии МВД. Казалось бы, что у нее впереди отличное будущее. Однако в свой девятнадцатый день рождения Лидия узнает, что она не родная своим родителям. В смятении чувств она ложится отдохнуть."
Рыжее братство. Трилогия,"Ксения на кухне крошила обыкновенный салат и не знала, что Совет решил ее похитить. Зачем? Что за Совет? Что он будет делать с ней? На эти вопросы она не успела получить ответы, так как неожиданно оказалась в незнакомом ей мире. Здесь живут гномы, духи воздуха, эльфы, маги и иные волшебные существа. Она же сама теперь – магева, то есть, женщина маг. Ох, недаром же на Земле она изучала руны! Зовут ее Оса, и теперь ей необходимо сколотить свою команду, чтобы суметь освоиться в этом мире. "
"Сборник ""Полный набор"" Книга 1-4","Вадим никогда не был особо знаменитым человеком. Жил себе и жил. У него было увлечение – ролевые игры, в которых он и его друзья изображали различных магических существ. Однажды на очередной игре Вадим со своими друзьями попал в незнакомую местность. В результате короткой стычки они погибли, остался в живых лишь он. Кто напал на них, где ближайшее поселение людей, что будет с ним дальше, Вадим не знает."
За серой полосой. Дилогия,"У Владимира наступила черная полоса в жизни. Дело в том, что он лишился работы и от него ушла гражданская жена. Делать нечего, приходится как-то начинать все заново. Перед тем, как сделать это, Владимир решил со своим другом отправиться на рыбалку развеяться, отвлечься от проблем. Идя на встречу с приятелем, мужчина замечает странно выглядящую незнакомку. На ней необычная одежда, и внешний вид у нее явно не земной."
Кто придет меня убить?,"Лиза три года прожила в браке с Олегом. Они особенно никогда не ссорились, поэтому для женщины стал ударом тот факт, что Олег решил от неё уйти. Мало того, что он разрушил её личную жизнь, так ещё и её собственная семья ополчилась против Лизы. Дело в том, что мама Елизаветы надеялась на то, что она станет собственницей квартиры Олега. Когда же этого не произошло, она отказала родной дочери и не пустила её жить в свой дом. Брат это решение поддержал и лишь дал ей немного денег."
"Сборник ""Ночь Сварога"". Компиляция. Книги 1-5","Когда-то Вадим Соколов служил в ФСБ, был героем, офицером, на которого возлагали большие надежды. Теперь он – инвалид, и никому не нужен. Скоро он должен умереть, и сам он, в принципе, не против такого жизненного финала. Однако высшие силы решают по-другому и дарят Вадиму Соколову второй шанс. Использовать его он может в другой исторической эпохе, которая не терпит современные технологии."
Знахарь. Путевка в «Кресты»,"Константин Разин молод и счастлив. Он талантливый и востребованный врач-реаниматолог. Много пациентов благодарны ему за спасение жизни. Перед ним открыты ослепительные перспективы карьерного роста. Кроме того, у него есть самая лучшая и любимая девушка на свете. Константин строит планы на жизнь и хочет ребенка. Но человек может только предполагать, и вскоре молодой врач это узнает сам."
"Серия ""Секретный фарватер-3"". Компиляция. Книги 1-22","Вторая мировая война закончилась почти восемьдесят лет назад. При этом память о ней свежа до сих пор. Люди помнят не только то горе, которое она принесла в их семьи, но и те тайны, которые были рождены в ходе её. Некоторые из них появились по воле людей, а происхождение других никто не может объяснить до сих пор. В эту серию сборника вошли новые тайны и загадки Второй мировой войны."
Песец подкрался незаметно,"Настоятельница Школы Рэкко – очень известная и могущественная женщина в этом магическом мире. Именно поэтому граф Мерген де Ликлейв, дракон и придворный маг его величества пригласил её к себе на аудиенцию. Она была вызвана тем, что из архива Королевской библиотеки бесследно исчез очень ценный свиток. На нём записана легенда об одном древнем и могущественном артефакте. Если он будет собран, Димария потеряет не только своего короля, но и своё влияние в этом мире. Именно поэтому свиток необходимо срочно отыскать во что бы то ни стало."
Убить топа,"Антон в своей прошлой жизни в нашем мире занимался киберспортом. К сожалению, жизнь парня сложилась так, что путь в большой спорт ему был закрыт. Однако Антона не оставляло желание принять участие в серьёзной игре. Эту возможность ему дало попадание в фэнтезийный мир Игры Патриам, который носит название «мир Трёх Солнц». Здесь Антон – получеловек-полуэльф Антошот, который от эльфийского обличия сохранил только необычные уши."
Отражения,"И самое сложное — понять природу снов, в которых я проживаю жизнь другой Шионы. Как будто вижу своё собственное отражение. Девушку, так похожую на меня и в то же время абсолютно мне незнакомую."
Все лето в один день,"События произведения происходят на Венере. Погода здесь совсем не похожа на ту, что на Земле. Круглый год здесь идут дожди, небо застилают серые мрачные тучи. Все кажется тусклым и беспросветным. Но люди привыкли к такой жизни. Солнце появляется здесь один раз в семь лет, да и то совсем ненадолго."
"Россия — Советский Союз, 1946–1991 гг.",Отредактировано.
Поэтика,"Аристотель рассуждает об искусстве и поэзии, говоря, что всё искусство построено на подражании. Он даёт определения комедии и трагедии, выражает мнение, что трагедия в искусстве помогает очиститься душе, и обосновывает свою точку зрения. Аристотель говорит о сути произведения, актёрах, фабуле. Он показывает, в каких случаях произведение не несёт в себе никакого смысла и не имеет глубины, когда декорации не дают ничего нового, а их большое количество вводит в заблуждение и помогает скрыть отсутствие сути. Он приводит в пример много произведений античности, только часть из которых сохранилась до наших дней."
Путь Дзэн,"Специалисты давно включили эту книгу в список классических книг по дзэн-буддизму, потому что она содержит наиболее полную и актуальную информацию о нём. Автор собирал свои знания об этом направлении буддизма, путешествуя и исследуя Восток. Благодаря его труду читатели могут узнать происхождение и историю учения дзэн. При этом некоторые из изложенных в нём сведений являются уникальными и их невозможно встретить в другой подобной литературе."
Серая сталь,"Что, если бы Октябрьская революция не произошла и Российская Империя сохранилась бы? Что, если бы какие-то другие события пошли по-иному? Ответ здесь один: все мы увидели бы новую реальность. Например, такую, как эта. В этой реальности в России не правят Романовы, технический прогресс сделал её одной из самых передовых стран мира, в Первой мировой войне она не участвовала, поэтому западные страны медленно, но верно движутся по пути упадка."
Посольство-3,"Сергей Кротов попал в Советскую Армию по пьянке. Напился – и уже в сапогах! Стране в то время солдаты нужны были любые, поэтому военком не стал ожидать, когда будущий спецназовец протрезвится. В космос он также попал случайно, просто забрался в корабль Предтеч, который доставил его в Миры Содружества. В результате Сергей Кротов теперь служит Империи. Делает он это хорошо, поэтому получает повышение и становится офицером."
Кавказский пленник,"Главный герой Иван Жилин служит на Кавказе. Однажды он получил от матери письмо, в котором она просит его приехать проститься, так как у неё ослабло здоровье, и в скором времени она может умереть. Также она пишет, что подыскала сыну хорошую невесту, и если та ему приглянётся, то можно будет и жениться. Жилин подумал и решил ехать. Вместе с товарищем они покинули крепость, но в пути произошла встреча с горцами, которые захватили мужчин в плен. И здесь проявились черты характера Жилина и его товарища Костылина. В судьбе Ивана большую роль сыграли чувства девушки Дины, дочери человека, у которого они были в плену."
Школа Добра и Зла,"Двести лет назад на Гавальдоне стали пропадать дети. Обычно пропадал один пригожий и послушный ребёнок и один странный и неказистый. Наступило время, и лучшие подруги, которых зовут Софи и Агата, узнали, куда они исчезают. Это место зовётся «Школа Добра и Зла». Здесь учатся самые обычные мальчики и девочки, чтобы в дальнейшем превратиться в героев и злодеев из сказок. Софи – признанная юная красавица этого мира, и она хочет стать принцессой, отучившись в Школе Добра. Агата же нелюдима и некрасива. Казалось бы, ей место только там, где учат Злу."
Далекие миры 3,"Когда-то Макс с группой землян оказался похищенным космическими пиратами. Его судьба была предрешена и ничего хорошего ему не предвещала. Понимая это, он приложил все усилия для того, чтобы стать свободным и изменить своё положение. Благодаря случайности он был освобождён из рабства и стал работать на империю Аратан. Усилия попаданца не прошли даром. Теперь у него есть небольшой флот и отряд хорошо подготовленных комических десантников и исследователей."
Тоска,"Это рассказ об извозчике, у которого было очень тяжело на душе. Ему не с кем было поделиться своим горем, не с кем было поговорить. Он надеялся, что кто-то из людей, которых он везёт, выслушает его, но этого не произошло. В произведении главное – не сама история извозчика, а эмоции. Желание поделиться с кем-то переживаниями, болью, найти хоть кого-то, кто поддержит, наталкивается на стену безразличия, непонимания, черствости. У каждого своя жизнь и свои проблемы. Разве есть кому-то дело до того, что происходит в жизни какого-то извозчика? И от этого очень больно. Рассказ напоминает о том, как важно сохранить человечность и отзывчивость, чтобы в трудную минуту поддержать другого. И не важно, кем он будет, – тяжело может быть каждому."
Неизвестная война,"Виктор Аксенов давно забыл о том, как он работал в губернской газете. Теперь он – чекист и выполняет сложные задания чекистского и партийного руководства. При этом, несмотря на такое обстоятельство, он старается выполнять свою миссию так, как он её видит. В его теле находится одновременно два разума: собственно Аксёнова, убеждённого большевика и чекиста, и попаданца из нашего времени."
